date,price
2015-01-01,10.0
2015-01-02,10.009563386909315
2015-01-03,9.913025679868229
2015-01-04,9.96507431111575
2015-01-05,9.776149444619849
2015-01-06,9.608433114973746
2015-01-07,9.470313141304018
2015-01-08,9.391479858685766
2015-01-10,9.126099397400472
2015-01-11,9.079618547540184
2015-01-12,9.178576003076603
2015-01-13,9.117907057313737
2015-01-14,9.05659143808484
2015-01-16,9.13857355420629
2015-01-17,9.30165889734958
2015-01-18,9.374930006739769
2015-01-19,9.412072842498516
2015-01-21,9.45033065248074
2015-01-23,9.476090331501668
2015-01-24,9.523079573751678
2015-01-26,9.507792099501572
2015-01-27,9.574753204380222
2015-01-28,9.49084979127154
2015-01-29,9.357453084964924
2015-01-31,9.189733555890436
2015-02-01,9.209670292029134
2015-02-03,9.111175370185691
2015-02-04,8.946070458415864
2015-02-05,9.004590066132403
2015-02-08,9.156144309236089
2015-02-09,9.157644382370124
2015-02-10,9.240032670235951
2015-02-11,9.077976686707162
2015-02-12,9.138863161632484
2015-02-13,9.077120831099526
2015-02-14,9.149938838029335
2015-02-16,9.304091915548016
2015-02-17,9.1444374919013
2015-02-18,9.07600132974083
2015-02-19,9.24167360154456
2015-02-20,9.343704982489877
2015-02-22,9.366965908728496
2015-02-24,9.401866257239009
2015-02-25,9.399065756808543
2015-02-26,9.279734312765653
2015-02-27,9.235433148948584
2015-02-28,9.378242460929776
2015-03-01,9.496598005455564
2015-03-03,9.361339413862108
2015-03-04,9.376563932358804
2015-03-05,9.468873365814195
2015-03-09,9.72185321700876
2015-03-11,9.768285105721992
2015-03-12,9.65304323773598
2015-03-13,9.838544432920482
2015-03-14,9.65062817203856
2015-03-15,9.746051209984335
2015-03-18,9.49868878509275
2015-03-19,9.627111193976477
2015-03-20,9.524405995862582
2015-03-22,9.782363291209156
2015-03-27,9.841988093441303
2015-03-28,9.87891358516534
2015-03-29,10.00648867123128
2015-03-30,9.808287596075706
2015-03-31,9.688571164123772
2015-04-01,9.70870222102552
2015-04-02,9.590063421073658
2015-04-04,9.743884257127611
2015-04-05,9.92799642882546
2015-04-06,10.026102624006636
2015-04-07,10.01882868637361
2015-04-08,10.15437084566438
2015-04-09,9.997335835085448
2015-04-10,10.006919995434068
2015-04-11,10.091411497162907
2015-04-13,10.196682983369564
2015-04-14,10.346943569194112
2015-04-16,10.42623141207882
2015-04-17,10.33293943875685
2015-04-18,10.284160786237026
2015-04-20,10.411765365168993
2015-04-21,10.449787198116535
2015-04-22,10.614445391878714
2015-04-23,10.563720387143702
2015-04-24,10.62764660264554
2015-04-25,10.704196247056196
2015-04-26,10.831518903777344
2015-04-28,10.722640928443193
2015-04-29,10.693093980854975
2015-04-30,10.60288560519221
2015-05-01,10.766130151485095
2015-05-02,10.901741666853193
2015-05-04,11.136449173715963
2015-05-05,11.348219431812376
2015-05-08,11.31189824798006
2015-05-09,11.252936291688536
2015-05-10,11.127209609834342
2015-05-12,10.788194198725671
2015-05-13,10.922599191927404
2015-05-14,10.759425087210008
2015-05-17,10.844586779007091
2015-05-18,10.86289025692146
2015-05-22,11.26453077547174
2015-05-23,11.447802231132204
2015-05-24,11.246008099383957
2015-05-26,11.400327802397875
2015-05-30,11.483126692455947
2015-06-01,11.607782078600708
2015-06-02,11.548918878815046
2015-06-03,11.749802195436326
2015-06-04,11.936268586169744
2015-06-06,12.118105082867675
2015-06-07,12.014728491085732
2015-06-08,11.96554605801248
2015-06-09,12.20080924987424
2015-06-11,11.72516418030512
2015-06-12,11.5529232639934
2015-06-15,11.88564219920112
2015-06-16,11.929016252046106
2015-06-17,11.984594241426787
2015-06-19,12.168965249964131
2015-06-21,12.343821736214212
2015-06-22,12.171032710756624
2015-06-23,12.27268901439095
2015-06-24,12.109999920708638
2015-06-25,11.945954184661066
2015-06-26,12.023488162556102
2015-06-27,12.081323687934438
2015-06-28,12.128631278821732
2015-06-29,12.225546250605294
2015-07-01,12.324409033400787
2015-07-02,12.3143065287729
2015-07-03,12.341697199913312
2015-07-05,12.06468017367282
2015-07-08,11.902500960383035
2015-07-09,11.74127183443231
2015-07-10,11.566473705709765
2015-07-11,11.74967467262496
2015-07-13,11.790968725411163
2015-07-15,11.654121121914264
2015-07-16,11.593243870315687
2015-07-17,11.651417342222611
2015-07-18,11.583400711926194
2015-07-19,11.497024255252066
2015-07-20,11.591236499134029
2015-07-22,11.628412001027224
2015-07-23,11.83196492645969
2015-07-24,11.828182225078605
2015-07-26,12.173533903623056
2015-07-27,12.00158034115665
2015-07-28,12.100509877614355
2015-07-29,12.010730164524675
2015-07-30,12.237871771550502
2015-07-31,12.327716525618872
2015-08-01,12.495912993027495
2015-08-02,12.649276090217167
2015-08-04,12.538187406353748
2015-08-05,12.636078923296228
2015-08-07,12.64766069570962
2015-08-08,12.71915859239732
2015-08-09,12.625118765306151
2015-08-10,12.857464419827862
2015-08-11,13.010913618388498
2015-08-12,13.176602471701104
2015-08-13,13.02764831065511
